MN,Date,Home,Away,Venue,Toss,BatFirst,Sc1stIn,Ov1stIn,Sc2ndIn,Ov2ndIn,MWin
1,08-04-2015,KKR,MI,Kolkata,xx,MI,168,20,170,18.3,KKR
2,09-04-2015,CSK,DD,Chennai,xx,CSK,150,20,149,20,CSK
3,10-04-2015,KXIP,RR,Pune,xx,RR,162,20,136,20,RR
4,11-04-2015,CSK,SRH,Chennai,xx,CSK,209,20,164,20,CSK
5,11-04-2015,KKR,RCB,Kolkata,xx,KKR,177,20,179,19,RCB
6,12-04-2015,DD,RR,Delhi,xx,DD,184,20,186,20,RR
7,12-04-2015,MI,KXIP,Mumbai,xx,KXIP,177,20,159,20,KXIP
8,13-04-2015,RCB,SRH,Bangalore,xx,RCB,166,20,172,17.2,SRH
9,14-04-2015,RR,MI,Ahmedabad,xx,MI,164,20,165,19.1,RR
10,15-04-2015,KXIP,DD,Pune,xx,KXIP,165,20,169,19.5,DD
11,16-04-2015,SRH,RR,Vizag,xx,SRH,127,20,131,20,RR
12,17-04-2015,MI,CSK,Mumbai,xx,MI,183,20,189,16.4,CSK
13,18-04-2015,SRH,DD,Vizag,xx,DD,167,20,163,20,DD
14,18-04-2015,KXIP,KKR,Pune,xx,KXIP,155,20,159,17.5,KKR
15,19-04-2015,RR,CSK,Ahmedabad,xx,CSK,156,20,157,18.2,RR
16,19-04-2015,RCB,MI,Bangalore,xx,MI,209,20,191,20,MI
17,20-04-2015,DD,KKR,Delhi,xx,DD,146,20,147,18.1,KKR
18,21-04-2015,RR,KXIP,Ahmedabad,xx,RR,191,20,191,20,KXIP
19,22-04-2015,SRH,KKR,Vizag,xx,SRH,176,20,101,12,SRH
20,22-04-2015,RCB,CSK,Bangalore,xx,CSK,181,20,154,20,CSK
21,23-04-2015,DD,MI,Delhi,xx,DD,190,20,153,20,DD
22,24-04-2015,RR,RCB,Ahmedabad,xx,RR,130,20,134,16.1,RCB
23,25-04-2015,MI,SRH,Mumbai,xx,MI,157,20,137,20,MI
24,25-04-2015,CSK,KXIP,Chennai,xx,CSK,192,20,95,20,CSK
25,26-04-2015,KKR,RR,Kolkata,xx,KKR,0,0,0,0,None
26,26-04-2015,DD,RCB,Delhi,xx,DD,95,20,99,10.3,RCB
27,27-04-2015,KXIP,SRH,Mohali,xx,SRH,150,20,130,20,SRH
28,28-04-2015,CSK,KKR,Chennai,xx,CSK,134,20,132,20,CSK
29,29-04-2015,RCB,RR,Bangalore,xx,RCB,0,0,0,0,None
30,30-04-2015,KKR,CSK,Kolkata,xx,CSK,165,20,169,19.5,KKR
31,01-05-2015,DD,KXIP,Delhi,xx,KXIP,118,20,119,13.5,DD
32,01-05-2015,MI,RR,Mumbai,xx,MI,187,20,179,20,MI
33,02-05-2015,RCB,KKR,Bangalore,xx,KKR,111,10,115,9.4,RCB
34,02-05-2015,SRH,CSK,Hyderabad,xx,SRH,192,20,170,20,SRH
35,03-05-2015,KXIP,MI,Mohali,xx,MI,172,20,149,20,MI
36,03-05-2015,RR,DD,Mumbai,xx,RR,189,20,175,20,RR
37,04-05-2015,CSK,RCB,Chennai,xx,CSK,148,20,124,20,CSK
38,04-05-2015,KKR,SRH,Kolkata,xx,KKR,167,20,132,20,KKR
39,05-05-2015,MI,DD,Mumbai,xx,DD,152,20,153,19.3,MI
40,06-05-2015,RCB,KXIP,Bangalore,xx,RCB,226,20,88,20,RCB
41,07-05-2015,RR,SRH,Mumbai,xx,SRH,201,20,194,20,SRH
42,07-05-2015,KKR,DD,Kolkata,xx,KKR,171,20,158,20,KKR
43,08-05-2015,CSK,MI,Chennai,xx,CSK,158,20,159,19.2,MI
44,09-05-2015,KKR,KXIP,Kolkata,xx,KXIP,183,20,184,19.5,KKR
45,09-05-2015,DD,SRH,Raipur,xx,SRH,163,20,157,20,SRH
46,10-05-2015,MI,RCB,Mumbai,xx,RCB,235,20,196,20,RCB
47,10-05-2015,CSK,RR,Chennai,xx,CSK,157,20,145,20,CSK
48,11-05-2015,SRH,KXIP,Hyderabad,xx,SRH,185,20,180,20,SRH
49,12-05-2015,DD,CSK,Raipur,xx,CSK,119,20,120,16.4,DD
50,13-05-2015,KXIP,RCB,Mohali,xx,KXIP,106,10,84,10,KXIP
51,14-05-2015,MI,KKR,Mumbai,xx,MI,171,20,166,20,MI
52,15-05-2015,SRH,RCB,Hyderabad,xx,SRH,135,11,83,5.5,RCB
53,16-05-2015,KXIP,CSK,Mohali,xx,KXIP,130,20,134,20,CSK
54,16-05-2015,RR,KKR,Mumbai,xx,RR,199,20,190,20,RR
55,17-05-2015,RCB,DD,Bangalore,xx,DD,0,0,0,0,None
56,17-05-2015,SRH,MI,Hyderabad,xx,SRH,113,20,114,13.5,MI
